filename,width,height,class,xmin,ymin,xmax,ymax,mask
image00000001.jpg,1280,720,Lips,661,394,776,444,mask00000001.png
image00000002.jpg,1280,720,Lips,557,336,682,392,mask00000002.png
image00000003.jpg,1280,720,Lips,553,369,684,427,mask00000003.png
image00000004.jpg,1280,720,Lips,555,351,681,408,mask00000004.png
image00000005.jpg,1280,720,Lips,555,351,680,407,mask00000005.png
image00000006.jpg,1280,720,Lips,578,340,699,406,mask00000006.png
image00000007.jpg,1280,720,Lips,555,384,675,444,mask00000007.png
image00000008.jpg,1280,720,Lips,660,397,774,445,mask00000008.png
image00000009.jpg,1280,720,Lips,427,509,644,619,mask00000009.png
image00000010.jpg,1280,720,Lips,563,334,686,404,mask00000010.png
image00000011.jpg,1280,720,Lips,424,510,640,617,mask00000011.png
image00000012.jpg,1280,720,Lips,552,370,682,432,mask00000012.png
image00000013.jpg,1280,720,Lips,660,396,775,445,mask00000013.png
image00000014.jpg,1280,720,Lips,566,362,693,439,mask00000014.png
image00000015.jpg,1280,720,Lips,563,330,689,403,mask00000015.png
image00000016.jpg,1280,720,Lips,566,348,689,432,mask00000016.png
image00000017.jpg,1280,720,Lips,660,394,776,443,mask00000017.png
image00000018.jpg,1280,720,Lips,573,349,687,422,mask00000018.png
image00000019.jpg,1280,720,Lips,424,510,639,618,mask00000019.png
image00000020.jpg,1280,720,Lips,425,509,642,618,mask00000020.png
image00000021.jpg,1280,720,Lips,577,339,699,407,mask00000021.png
image00000022.jpg,1280,720,Lips,424,510,640,617,mask00000022.png
image00000023.jpg,1280,720,Lips,660,389,779,441,mask00000023.png
image00000024.jpg,1280,720,Lips,660,392,777,442,mask00000024.png
image00000025.jpg,1280,720,Lips,660,387,780,440,mask00000025.png
image00000026.jpg,1280,720,Lips,564,330,690,405,mask00000026.png
image00000027.jpg,1280,720,Lips,660,396,775,445,mask00000027.png
image00000028.jpg,1280,720,Lips,549,359,673,427,mask00000028.png
image00000029.jpg,1280,720,Lips,425,508,643,618,mask00000029.png
image00000030.jpg,1280,720,Lips,564,363,688,435,mask00000030.png
image00000031.jpg,1280,720,Lips,566,354,686,423,mask00000031.png
image00000032.jpg,1280,720,Lips,567,349,689,431,mask00000032.png
image00000033.jpg,1280,720,Lips,660,387,780,440,mask00000033.png
image00000034.jpg,1280,720,Lips,551,372,688,448,mask00000034.png
image00000035.jpg,1280,720,Lips,553,372,699,451,mask00000035.png
image00000036.jpg,1280,720,Lips,571,348,686,422,mask00000036.png
image00000037.jpg,1280,720,Lips,569,342,688,408,mask00000037.png
image00000038.jpg,1280,720,Lips,427,509,644,619,mask00000038.png
image00000039.jpg,1280,720,Lips,427,510,645,621,mask00000039.png
image00000040.jpg,1280,720,Lips,660,386,781,440,mask00000040.png
image00000041.jpg,1280,720,Lips,549,361,671,429,mask00000041.png
image00000042.jpg,1280,720,Lips,660,390,778,441,mask00000042.png
image00000043.jpg,1280,720,Lips,566,363,691,440,mask00000043.png
image00000044.jpg,1280,720,Lips,560,334,684,419,mask00000044.png
image00000045.jpg,1280,720,Lips,551,348,686,431,mask00000045.png
image00000046.jpg,1280,720,Lips,556,353,681,411,mask00000046.png
image00000047.jpg,1280,720,Lips,551,355,677,417,mask00000047.png
image00000048.jpg,1280,720,Lips,661,393,776,443,mask00000048.png
image00000049.jpg,1280,720,Lips,552,348,678,430,mask00000049.png
image00000050.jpg,1280,720,Lips,427,509,645,620,mask00000050.png
image00000051.jpg,1280,720,Lips,569,351,690,424,mask00000051.png
image00000052.jpg,1280,720,Lips,555,350,697,430,mask00000052.png
image00000053.jpg,1280,720,Lips,660,398,775,446,mask00000053.png
image00000054.jpg,1280,720,Lips,552,372,696,451,mask00000054.png
image00000055.jpg,1280,720,Lips,569,342,687,405,mask00000055.png
image00000056.jpg,1280,720,Lips,660,397,775,445,mask00000056.png
